DATE,RETURN 1,RETURN 2,RETURN 3,REURN 4,RETURN 5,RETURN 6,RETURN 7,RETURN 8,RETURN 9
09-11-1997,-0.945033977,0.092613636,0.55120918,-0.254380443,-0.768400093,-0.372105916,0.198082973,1.640322961,-1.241759646
09-12-1997,-0.940174106,0.139354947,0.553970448,-0.256646135,-0.763855748,-0.366236436,0.220647275,1.649660524,-1.228381084
9/15/1997,-0.945605673,0.135845588,0.52915432,-0.270240285,-0.763442143,-0.372105916,0.232378517,1.609196005,-1.215002521
9/16/1997,-0.943222845,0.166226604,0.537429303,-0.239653447,-0.764682956,-0.376018903,0.234183545,1.621647836,-1.190156619
9/17/1997,-0.942747194,0.160386029,0.537429303,-0.239653447,-0.767986489,-0.381888382,0.237793602,1.693244554,-1.192067843
9/18/1997,-0.943794541,0.172067179,0.542943018,-0.247583368,-0.760552215,-0.387757862,0.247722704,1.715033948,-1.18442295
9/19/1997,-0.937792194,0.184926471,0.55120918,-0.243051985,-0.734108046,-0.393627342,0.229672418,1.646551498,-1.18442295
9/22/1997,-0.932742063,0.191936832,0.611860045,-0.201136688,-0.718412289,-0.401453314,0.210718173,1.651217658,-1.186334173
9/23/1997,-0.931598671,0.183756684,0.556722895,-0.206800918,-0.720888613,-0.391670848,0.211622132,1.652774792,-1.197801512
9/24/1997,-0.933885454,0.160386029,0.567750325,-0.222095243,-0.726260168,-0.397540328,0.208012074,1.64343723,-1.188245396
9/25/1997,-0.936601237,0.154545455,0.61737376,-0.221527914,-0.727087377,-0.397540328,0.197181903,1.630985399,-1.180600503
9/26/1997,-0.935790801,0.168566176,0.653217319,-0.212465147,-0.73328614,-0.399496821,0.189961788,1.662112355,-1.171044387
9/29/1997,-0.936934193,0.184926471,0.636676174,-0.190941076,-0.731631722,-0.41710526,0.184546702,1.62787113,-1.146198485
9/30/1997,-0.934219324,0.175576537,0.631162459,-0.181878309,-0.729977305,-0.42297474,0.185447773,1.584292343,-1.159577048
10-01-1997,-0.937125368,0.177907754,0.61737376,-0.204535226,-0.733694442,-0.411235781,0.182741674,1.609196005,-1.130908699
10-02-1997,-0.937220498,0.186087901,0.815867501,-0.194906943,-0.731218118,-0.421018247,0.171911502,1.615419299,-1.123263807
10-03-1997,-0.937172933,0.182586898,0.760730351,-0.197172634,-0.735762464,-0.440583179,0.175521559,1.525147456,-1.12517503
10-06-1997,-0.936172237,0.195437834,0.769005335,-0.192641251,-0.72832819,-0.448409152,0.175521559,1.518924162,-1.138553592
10-07-1997,-0.936791498,0.211798128,0.777271496,-0.174515717,-0.725432959,-0.462104604,0.157471273,1.556279655,-1.159577048
10-08-1997,-0.937268063,0.205957553,0.77451905,-0.188675384,-0.724192146,-0.48362603,0.130395844,1.562502949,-1.148109708
10-09-1997,-0.939602411,0.194268048,0.80760134,-0.194339613,-0.722543031,-0.460148111,0.139420987,1.537599287,-1.159577048
10-10-1997,-0.938221194,0.17907754,0.75246419,-0.191508405,-0.730390909,-0.452322138,0.134005901,1.584292343,-1.169133164
10/13/1997,-0.937315628,0.180247326,0.705593201,-0.195472459,-0.720061404,-0.450365645,0.133101943,1.543827824,-1.161488271
10/14/1997,-0.937505888,0.191936832,0.724895614,-0.206235401,-0.719234196,-0.450365645,0.132200873,1.409971951,-1.146198485
10/15/1997,-0.938030019,0.168566176,0.724895614,-0.220962397,-0.72337024,-0.42884422,0.122271771,1.42553805,-1.144287262
10/16/1997,-0.940745802,0.168566176,0.697327039,-0.237387755,-0.734108046,-0.434713699,0.114150587,1.406862925,-1.17295561
10/17/1997,-0.940745802,0.174406751,0.631162459,-0.277604689,-0.746505573,-0.440583179,0.096100301,1.385073531,-1.18442295
10/20/1997,-0.938935585,0.168566176,0.625648744,-0.258911826,-0.730390909,-0.434713699,0.067219843,1.332151939,-1.186334173
10/21/1997,-0.933408889,0.170897393,0.782785211,-0.189242713,-0.732458931,-0.426887726,0.115051657,1.416200488,-1.199712736
10/22/1997,-0.932551802,0.16739639,0.771757781,-0.18980823,-0.738238788,-0.436670193,0.11054053,1.487797206,-1.192067843
10/23/1997,-0.932742063,0.134675802,0.680785894,-0.232856372,-0.739065996,-0.460148111,0.11054053,1.509586599,-1.209268852
10/24/1997,-0.927930672,0.130005013,0.644942335,-0.254380443,-0.736589673,-0.444496165,0.0708299,1.409971951,-1.188245396
10/27/1997,-0.934838585,0.069242981,0.553970448,-0.326882577,-0.758070588,-0.473843564,0.066315885,1.182740451,-1.218824968
10/28/1997,-0.928645063,0.125334225,0.501585744,-0.241919139,-0.742168029,-0.460148111,0.056389671,1.313476813,-1.245582093
10/29/1997,-0.924595628,0.118323864,0.56223661,-0.252114751,-0.738599366,-0.452322138,0.069024872,1.34460377,-1.220736191
10/30/1997,-0.927025106,0.105464572,0.421641287,-0.274206151,-0.743986828,-0.467974084,0.0708299,1.319700107,-1.24367087
10/31/1997,-0.927406541,0.126495655,0.449209863,-0.24984906,-0.746473757,-0.466017591,0.085270129,1.350832307,-1.18442295
11-03-1997,-0.927501672,0.144025735,0.471264723,-0.221527914,-0.73901297,-0.436670193,0.102416457,1.500249037,-1.130908699
11-04-1997,-0.928549933,0.160386029,0.471264723,-0.218696705,-0.741913504,-0.448409152,0.096100301,1.406862925,-1.121352583
11-05-1997,-0.929311889,0.172067179,0.507099459,-0.211332301,-0.744400433,-0.454278632,0.118661714,1.403748657,-1.138553592
11-06-1997,-0.931264801,0.148696524,0.526401873,-0.226626626,-0.745641246,-0.464061098,0.143932115,1.437989881,-1.130908699
11-07-1997,-0.932932323,0.147535094,0.485044599,-0.240786293,-0.746473757,-0.460148111,0.138517029,1.413086219,-1.134731146
11-10-1997,-0.935410281,0.152205882,0.509860728,-0.257213464,-0.751028708,-0.464061098,0.092490243,1.431766587,-1.151932155
11-11-1997,-0.937792194,0.14986631,0.523640605,-0.245317676,-0.750615104,-0.464061098,0.102416457,1.531375993,-1.165310717
11-12-1997,-0.93941215,0.153375668,0.515374443,-0.266841747,-0.763044447,-0.464061098,0.090685215,1.456665006,-1.171044387
11/13/1997,-0.938601715,0.168566176,0.479530884,-0.24418483,-0.759730309,-0.469930577,0.0708299,1.357055601,-1.186334173
11/14/1997,-0.935790801,0.184926471,0.360990422,-0.222660759,-0.741499899,-0.467974084,0.07173097,1.381959263,-1.146198485
11/17/1997,-0.933885454,0.191936832,0.418880019,-0.204535226,-0.739845482,-0.471887071,0.0708299,1.456665006,-1.123263807
11/18/1997,-0.933504019,0.181417112,0.402338874,-0.21699653,-0.783756482,-0.487539016,0.096100301,1.528261724,-1.123263807
11/19/1997,-0.932646933,0.19660762,0.352715438,-0.208501093,-0.777955416,-0.487539016,0.087075158,1.512695625,-1.117530137
11/20/1997,-0.931980107,0.203617981,0.369256584,-0.193206768,-0.780442345,-0.485582523,0.092490243,1.568731486,-1.111796467
11/21/1997,-0.932837193,0.211798128,0.383045282,-0.185844176,-0.77836902,-0.526668881,0.088880186,1.630985399,-1.11370769
11/24/1997,-0.935219106,0.19660762,0.377531567,-0.207933764,-0.789971154,-0.509060442,0.078951085,1.550051118,-1.123263807
11/25/1997,-0.935457846,0.212967914,0.366504137,-0.169417005,-0.782510367,-0.507103949,0.068120913,1.556279655,-1.12517503
11/26/1997,-0.934933715,0.211798128,0.341688008,-0.147892934,-0.786243411,-0.512973428,0.088880186,1.543827824,-1.161488271
11/27/1997,-0.934933715,0.211798128,0.341688008,-0.147892934,-0.786243411,-0.512973428,0.088880186,1.543827824,-1.161488271
11/28/1997,-0.936172237,0.197777406,0.316880702,-0.150158626,-0.784583691,-0.514929922,0.095196342,1.534490261,-1.165310717
12-01-1997,-0.934838585,0.2375,0.292064573,-0.122404809,-0.779196229,-0.511016935,0.118661714,1.581178074,-1.146198485
12-02-1997,-0.935171541,0.2375,0.380284014,-0.138830167,-0.78707062,-0.509060442,0.130395844,1.615419299,-1.127086253
12-03-1997,-0.933980584,0.256199866,0.421641287,-0.142228705,-0.783756482,-0.509060442,0.113246628,1.662112355,-1.111796467
12-04-1997,-0.932742063,0.24334893,0.620135029,-0.152424317,-0.78707062,-0.511016935,0.117760644,1.624762104,-1.111796467
12-05-1997,-0.931884977,0.251529078,0.60634633,-0.125236017,-0.791211967,-0.501234469,0.113246628,1.727480536,-1.12517503
12-08-1997,-0.930836715,0.2375,0.61737376,-0.119571788,-0.781269553,-0.512973428,0.113246628,1.718142973,-1.127086253
12-09-1997,-0.931026976,0.262040441,0.576025308,-0.142228705,-0.78707062,-0.522755894,0.112345558,1.708805411,-1.111796467
12-10-1997,-0.932646933,0.246849933,0.564997878,-0.177346926,-0.793698896,-0.530581867,0.115051657,1.683901748,-1.121352583
12-11-1997,-0.931026976,0.229328209,0.548456733,-0.221527914,-0.804054914,-0.528625374,0.102416457,1.62787113,-1.127086253
12-12-1997,-0.932360627,0.22581885,0.55120918,-0.232856372,-0.829327204,-0.528625374,0.088880186,1.553165387,-1.138553592
12/15/1997,-0.931980107,0.244510361,0.60634633,-0.228324989,-0.822698928,-0.524712388,0.075341028,1.556279655,-1.121352583
12/16/1997,-0.933123498,0.263210227,0.620135029,-0.202269534,-0.833054946,-0.516886415,0.099710358,1.612310273,-1.127086253
12/17/1997,-0.933742759,0.239839572,0.598080169,-0.218129376,-0.830981621,-0.518842908,0.099710358,1.550051118,-1.111796467
12/18/1997,-0.93464741,0.200108623,0.603593884,-0.23625491,-0.83346855,-0.514929922,0.100611428,1.419314756,-1.121352583
12/19/1997,-0.932742063,0.188427473,0.553970448,-0.21699653,-0.818552279,-0.511016935,0.099710358,1.313476813,-1.123263807
12/22/1997,-0.930931846,0.215299131,0.487805868,-0.213032476,-0.816484257,-0.512973428,0.105125444,1.366393163,-1.146198485
12/23/1997,-0.931598671,0.193098262,0.531915588,-0.248716214,-0.822280021,-0.512973428,0.115051657,1.363284138,-1.157665825
12/24/1997,-0.931788932,0.186087901,0.526401873,-0.24418483,-0.817311465,-0.514929922,0.117760644,1.419314756,-1.146198485
12/25/1997,-0.931788932,0.186087901,0.526401873,-0.24418483,-0.817311465,-0.514929922,0.117760644,1.419314756,-1.146198485
12/26/1997,-0.932551802,0.200108623,0.548456733,-0.220962397,-0.812756514,-0.512973428,0.124980758,1.400634388,-1.148109708
12/29/1997,-0.93045528,0.211798128,0.675272179,-0.211332301,-0.808609865,-0.514929922,0.134906972,1.447327444,-1.148109708
12/30/1997,-0.929549714,0.231659425,0.75246419,-0.207933764,-0.796599429,-0.507103949,0.173716531,1.500249037,-1.132819923
12/31/1997,-0.927978237,0.204787767,0.757977905,-0.194339613,-0.789557549,-0.514929922,0.175521559,1.509586599,-1.151932155
01-01-1998,-0.927978237,0.204787767,0.757977905,-0.194339613,-0.789557549,-0.514929922,0.175521559,1.509586599,-1.151932155
01-02-1998,-0.928549933,0.241009358,0.700079486,-0.185276847,-0.794526105,-0.505147455,0.194472916,1.543827824,-1.148109708
01-05-1998,-0.93045528,0.248019719,0.730409329,-0.177914255,-0.790798363,-0.495364989,0.195376874,1.525147456,-1.134731146
01-06-1998,-0.929645759,0.226988636,0.719381899,-0.188675384,-0.781683158,-0.47775655,0.169202515,1.456665006,-1.132819923
01-07-1998,-0.93016989,0.235168783,0.741436759,-0.197738151,-0.785824504,-0.48949551,0.155666245,1.378844994,-1.136642369
01-08-1998,-0.931693802,0.251529078,0.700079486,-0.19830548,-0.783342878,-0.499277976,0.140322058,1.357055601,-1.132819923
01-09-1998,-0.934933715,0.2375,0.664244749,-0.235689393,-0.789557549,-0.512973428,0.095196342,1.226319239,-1.140464816
01-12-1998,-0.93455228,0.280740307,0.655969765,-0.235122064,-0.792871687,-0.516886415,0.106930472,1.23877107,-1.153843378
1/13/1998,-0.931408411,0.285411096,0.66148348,-0.21699653,-0.796185825,-0.514929922,0.097001371,1.229428264,-1.169133164
1/14/1998,-0.929311889,0.288920455,0.609107599,-0.212465147,-0.805295727,-0.505147455,0.104221485,1.282349857,-1.157665825
1/15/1998,-0.928597498,0.278400735,0.54018175,-0.205102555,-0.802814101,-0.499277976,0.109636571,1.22320497,-1.146198485
1/16/1998,-0.930073845,0.290081885,0.509860728,-0.190941076,-0.802814101,-0.493408496,0.126785787,1.266783758,-1.107974021
1/19/1998,-0.930073845,0.290081885,0.509860728,-0.190941076,-0.802814101,-0.493408496,0.126785787,1.266783758,-1.107974021
1/20/1998,-0.928597498,0.315792112,0.542943018,-0.160354238,-0.800327172,-0.487539016,0.128590816,1.332151939,-1.136642369
1/21/1998,-0.927501672,0.30177139,0.58429147,-0.235122064,-0.804054914,-0.493408496,0.121370701,1.319700107,-1.11944136
1/22/1998,-0.926929976,0.293591243,0.587052738,-0.241919139,-0.807782656,-0.503190962,0.1240768,1.304139251,-1.106062798
1/23/1998,-0.928740193,0.286580882,0.609107599,-0.243619314,-0.809442376,-0.491452003,0.119565673,1.307253519,-1.094595458
1/26/1998,-0.929883584,0.273721591,0.61737376,-0.253247597,-0.815238141,-0.499277976,0.130395844,1.400634388,-1.088861789
1/27/1998,-0.93045528,0.305272393,0.523640605,-0.267974593,-0.815238141,-0.499277976,0.150251159,1.307253519,-1.075483226
1/28/1998,-0.93026502,0.306442179,0.51812689,-0.26344321,-0.811510398,-0.487539016,0.140322058,1.400634388,-1.073572003
1/29/1998,-0.928549933,0.323972259,0.51812689,-0.25268208,-0.813583723,-0.481669537,0.138517029,1.400634388,-1.069749556
1/30/1998,-0.928930453,0.304102607,0.589805185,-0.247583368,-0.807782656,-0.466017591,0.145737143,1.338380476,-1.075483226
02-02-1998,-0.92635828,0.311112968,0.620135029,-0.23115801,-0.808609865,-0.460148111,0.194472916,1.469116837,-1.06592711
02-03-1998,-0.926787281,0.297092246,0.63942862,-0.241919139,-0.809023469,-0.454278632,0.203498059,1.503358062,-1.06592711
02-04-1998,-0.927596802,0.295930816,0.614621314,-0.251549235,-0.802814101,-0.452322138,0.191766817,1.484682937,-1.07166078
02-05-1998,-0.928740193,0.300601604,0.611860045,-0.240220776,-0.801567985,-0.458191618,0.199888002,1.500249037,-1.067838333
02-06-1998,-0.929026498,0.322802473,0.625648744,-0.254380443,-0.797840243,-0.454278632,0.211622132,1.543827824,-1.069749556
02-09-1998,-0.929502149,0.320462901,0.587052738,-0.254380443,-0.793698896,-0.446452659,0.184546702,1.540713555,-1.07166078
02-10-1998,-0.925405149,0.355514706,0.520888158,-0.228324989,-0.795766918,-0.452322138,0.229672418,1.637208693,-1.075483226
02-11-1998,-0.925500279,0.348504345,0.534668035,-0.21189963,-0.795353314,-0.450365645,0.21342716,1.621647836,-1.079305672
02-12-1998,-0.925786585,0.361363636,0.587052738,-0.210199455,-0.789557549,-0.450365645,0.221548345,1.621647836,-1.083128119
2/13/1998,-0.92645341,0.364864639,0.531915588,-0.214730839,-0.775054882,-0.452322138,0.229672418,1.593629905,-1.086950565
2/16/1998,-0.92645341,0.364864639,0.531915588,-0.214730839,-0.775054882,-0.452322138,0.229672418,1.593629905,-1.086950565
2/17/1998,-0.926834846,0.387065508,0.520888158,-0.218129376,-0.775882091,-0.436670193,0.232378517,1.568731486,-1.088861789
2/18/1998,-0.927501672,0.380055147,0.512613175,-0.211332301,-0.772567953,-0.440583179,0.242307618,1.543827824,-1.092684235
2/19/1998,-0.926071975,0.359024064,0.460237293,-0.211332301,-0.772154349,-0.436670193,0.243208688,1.503358062,-1.092684235
2/20/1998,-0.925691454,0.368373997,0.493319583,-0.212465147,-0.77298686,-0.440583179,0.252233831,1.4940205,-1.096506681
